0.0000 (1.5000,-1.5000) (1.5000,-1.0000) (1.5000,-0.5000)
0.5000 (1.2909,-1.2798) (1.3000,-0.6464) (1.3000,-0.1049)
1.0000 (1.1954,-0.9210) (1.2000,-0.3040) (1.2000,0.2820)
1.5000 (1.1477,-0.5789) (1.1500,0.0172) (1.1439,0.6889)
2.0000 (1.1239,-0.2590) (1.1250,0.3099) (1.0916,1.0680)
2.5000 (1.1119,0.0343) (1.1125,0.5691) (0.6864,1.3611)
3.0000 (1.1060,0.2982) (1.1057,0.8054) (0.2813,1.6541)
3.5000 (1.1030,0.5312) (1.0999,1.0048) (-0.1239,1.9471)
4.0000 (1.1015,0.7336) (1.0878,1.1869) (-0.4369,2.1735)
4.5000 (1.1005,0.9095) (0.6017,1.3040) (-0.5935,2.2868)
5.0000 (1.0997,1.0582) (0.1156,1.4211) (-0.6717,2.3434)
5.5000 (0.6815,1.2970) (-0.3705,1.5381) (-0.7108,2.3717)
6.0000 (0.1907,1.3924) (-0.8102,1.6441) (-0.7304,2.3858)
6.5000 (-0.3001,1.4877) (-1.0301,1.6971) (-0.7402,2.3929)
7.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
7.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
8.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
8.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
9.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
9.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
10.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
10.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
11.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
11.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
12.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
12.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
13.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
13.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
14.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
14.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
15.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
15.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
16.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
16.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
17.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
17.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
18.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
18.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
19.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
19.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
20.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
20.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
21.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
21.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
22.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
22.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
23.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
23.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
24.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
24.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
25.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
25.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
26.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
26.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
27.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
27.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
28.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
28.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
29.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
29.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
30.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
30.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
31.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
31.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
32.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
32.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
33.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
33.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
34.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
34.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
35.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
35.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
36.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
36.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
37.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
37.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
38.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
38.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
39.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
39.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
40.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
40.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
41.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
41.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
42.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
42.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
43.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
43.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
44.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
44.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
45.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
45.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
46.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
46.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
47.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
47.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
48.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
48.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
49.0000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
49.5000 (-0.7909,1.5831) (-1.1400,1.7235) (-0.7451,2.3965)
0.0000 (1.5000,-1.5000) (1.5000,-1.0000) (1.5000,-0.5000)
0.5000 (1.2909,-1.2798) (1.3000,-0.6465) (1.3000,-0.1050)
1.0000 (1.1954,-0.9210) (1.2000,-0.3041) (1.2000,0.2820)
1.5000 (1.1477,-0.5788) (1.1500,0.0171) (1.1439,0.6888)
2.0000 (1.1239,-0.2590) (1.1250,0.3098) (1.0916,1.0680)
2.5000 (1.1119,0.0343) (1.1125,0.5691) (0.6864,1.3610)
3.0000 (1.1060,0.2982) (1.1057,0.8054) (0.2813,1.6540)
3.5000 (1.1030,0.5312) (1.0999,1.0047) (-0.1238,1.9471)
4.0000 (1.1015,0.7337) (1.0880,1.1863) (-0.4369,2.1735)
4.5000 (1.1005,0.9095) (0.6020,1.3035) (-0.5934,2.2867)
5.0000 (1.0997,1.0583) (0.1159,1.4207) (-0.6717,2.3434)
5.5000 (0.6810,1.2966) (-0.3702,1.5379) (-0.7108,2.3717)
6.0000 (0.1902,1.3921) (-0.8101,1.6439) (-0.7304,2.3858)
6.5000 (-0.3006,1.4875) (-1.0301,1.6969) (-0.7403,2.3929)
7.0000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
7.5000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
8.0000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
8.5000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
9.0000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
9.5000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
10.0000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
10.5000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
11.0000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
11.5000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
12.0000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
12.5000 (-0.7914,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
