0.0 (9.9345,6.5853) (9.0225,4.7935) (8.7357,3.3610)
1.0 (10.1688,6.6709) (9.2446,4.8878) (8.9714,3.4224)
2.0 (10.4030,6.7568) (9.4664,4.9826) (9.2070,3.4842)
3.0 (10.6370,6.8431) (9.6877,5.0782) (9.4423,3.5463)
4.0 (10.8707,6.9297) (9.9086,5.1745) (9.6776,3.6089)
5.0 (11.1043,7.0167) (10.1291,5.2713) (9.9127,3.6720)
6.0 (11.3377,7.1041) (10.3492,5.3689) (10.1476,3.7354)
7.0 (11.5708,7.1918) (10.5689,5.4671) (10.3824,3.7992)
8.0 (11.8038,7.2799) (10.7882,5.5662) (10.6170,3.8634)
9.0 (12.0365,7.3685) (11.0071,5.6660) (10.8515,3.9280)
10.0 (12.2689,7.4574) (11.2256,5.7666) (11.0858,3.9931)
11.0 (12.5010,7.5469) (11.4436,5.8681) (11.3200,4.0586)
12.0 (12.7327,7.6368) (11.6612,5.9705) (11.5540,4.1246)
13.0 (12.9641,7.7273) (11.8783,6.0737) (11.7878,4.1910)
14.0 (13.2909,7.9573) (12.0223,5.9879) (12.0280,4.2459)
15.0 (13.5199,8.0525) (12.2376,6.0925) (12.2618,4.3130)
16.0 (13.7485,8.1482) (12.4524,6.1981) (12.4954,4.3806)
17.0 (13.9768,8.2444) (12.6667,6.3045) (12.7287,4.4487)
18.0 (14.2046,8.3412) (12.8805,6.4119) (12.9619,4.5175)
19.0 (14.4321,8.4384) (13.0939,6.5202) (13.1947,4.5869)
20.0 (14.6594,8.5361) (13.3067,6.6295) (13.4274,4.6569)
21.0 (14.8863,8.6343) (13.5191,6.7396) (13.6597,4.7274)
22.0 (15.1128,8.7329) (13.7309,6.8508) (13.8919,4.7985)
23.0 (15.3391,8.8320) (13.9423,6.9629) (14.1237,4.8702)
24.0 (15.5650,8.9315) (14.1531,7.0761) (14.3554,4.9424)
25.0 (15.7906,9.0315) (14.3635,7.1902) (14.5867,5.0153)
26.0 (16.0158,9.1320) (14.5734,7.3053) (14.8178,5.0887)
27.0 (16.2407,9.2329) (14.7828,7.4213) (15.0486,5.1628)
28.0 (16.4653,9.3343) (14.9917,7.5384) (15.2792,5.2375)
29.0 (16.6895,9.4362) (15.2001,7.6564) (15.5095,5.3128)
30.0 (16.9133,9.5385) (15.4080,7.7756) (15.7394,5.3889)
31.0 (17.1368,9.6413) (15.6153,7.8957) (15.9692,5.4655)
32.0 (17.3598,9.7446) (15.8222,8.0169) (16.1987,5.5428)
33.0 (17.5826,9.8483) (16.0285,8.1392) (16.4279,5.6206)
34.0 (17.8049,9.9524) (16.2343,8.2625) (16.6568,5.6992)
35.0 (18.0269,10.0570) (16.4396,8.3868) (16.8855,5.7784)
36.0 (18.2485,10.1619) (16.6443,8.5123) (17.1138,5.8583)
37.0 (18.4698,10.2672) (16.8485,8.6388) (17.3418,5.9388)
