0.0 (14.2976,8.3674) (15.7020,7.3649) (16.6833,5.8754)
1.0 (14.7951,9.2348) (16.2040,8.2297) (17.1665,6.7509)
2.0 (15.2926,10.1023) (16.7059,9.0946) (17.6497,7.6263)
3.0 (15.7901,10.9697) (17.2079,9.9595) (18.1330,8.5017)
4.0 (16.2877,11.8370) (17.7099,10.8244) (18.6162,9.3772)
5.0 (16.7853,12.7045) (18.2118,11.6892) (19.0994,10.2527)
6.0 (17.2829,13.5719) (18.7137,12.5542) (19.5827,11.1282)
7.0 (17.7804,14.4393) (19.2157,13.4190) (20.0660,12.0036)
8.0 (18.5369,15.2042) (19.4512,14.3675) (20.5492,12.8791)
9.0 (19.0233,16.0780) (19.9647,15.2257) (21.0325,13.7545)
10.0 (19.5095,16.9495) (20.5595,16.0814) (21.5157,14.6300)
11.0 (19.9958,17.8232) (21.0696,16.9416) (21.9989,15.5055)
12.0 (20.4821,18.6969) (21.5796,17.8017) (22.4823,16.3810)
13.0 (20.9685,19.5707) (22.0898,18.6619) (22.9656,17.2565)
14.0 (21.4547,20.4445) (22.5998,19.5220) (23.4488,18.1319)
15.0 (21.9410,21.3182) (23.1100,20.3821) (23.9321,19.0073)
16.0 (20.7594,21.4835) (23.6859,20.9307) (24.4154,19.8828)
17.0 (21.3092,22.3187) (24.3230,21.5927) (24.8986,20.7582)
18.0 (21.4827,23.1540) (24.9021,22.3985) (25.4522,21.5299)
19.0 (21.4984,23.9759) (25.3710,23.2818) (25.9822,22.3121)
20.0 (21.4999,24.7765) (25.8400,24.1650) (26.4454,23.1984)
21.0 (21.5000,25.5524) (26.3089,25.0482) (26.9086,24.0847)
22.0 (21.5000,26.3002) (26.7779,25.9314) (27.3717,24.9710)
23.0 (21.5000,26.4818) (27.2467,26.8146) (27.8349,25.8573)
24.0 (21.5000,26.4983) (27.7156,27.6978) (28.2981,26.7435)
25.0 (21.5000,26.4998) (28.1846,28.5810) (28.7613,27.6298)
26.0 (21.5000,26.5000) (28.6536,29.4642) (29.2245,28.5161)
27.0 (21.5000,26.5000) (29.1226,30.3474) (29.6878,29.4024)
28.0 (21.5000,26.5000) (29.5915,31.2307) (30.0000,30.0000)
29.0 (21.5000,26.5000) (30.0000,31.9999) (30.0000,30.0000)
30.0 (21.5000,26.5000) (30.0000,32.0001) (30.0001,30.0001)
31.0 (21.5000,26.5000) (30.0000,31.9999) (30.0000,30.0000)
32.0 (21.5000,26.5000) (30.0000,32.0000) (29.9999,30.0000)
33.0 (21.5000,26.5000) (30.0001,32.0000) (30.0000,29.9999)
34.0 (21.5000,26.5000) (29.0539,32.3238) (30.0000,30.0001)
35.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0000)
36.0 (21.5000,26.5000) (30.0001,32.0000) (30.0000,30.0001)
37.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,29.9999)
38.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0000)
39.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0000)
40.0 (21.5000,26.5000) (29.4532,32.3187) (30.0001,30.0000)
41.0 (21.5000,26.5000) (30.0001,32.0000) (29.9999,30.0000)
42.0 (21.5000,26.5000) (30.0001,32.0000) (30.0000,30.0000)
43.0 (21.5000,26.5000) (30.0000,32.0001) (30.0000,30.0000)
44.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0000)
45.0 (21.5000,26.5000) (30.0001,32.0000) (29.9999,30.0000)
46.0 (21.5000,26.5000) (30.0001,32.0000) (29.9999,30.0001)
47.0 (21.5000,26.5000) (30.0000,31.9999) (30.0000,29.9999)
48.0 (21.5000,26.5000) (29.9999,32.0000) (30.0000,30.0000)
49.0 (21.5000,26.5000) (30.0001,31.9999) (30.0000,30.0000)
50.0 (21.5000,26.5000) (30.0000,32.0001) (30.0000,30.0000)
51.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0000)
52.0 (21.5000,26.5000) (30.0000,31.9999) (30.0000,30.0000)
53.0 (21.5000,26.5000) (30.0000,32.0000) (30.0001,30.0001)
54.0 (21.5000,26.5000) (30.0000,32.0000) (29.9999,30.0000)
55.0 (21.5000,26.5000) (30.0000,32.0000) (30.0001,30.0000)
56.0 (21.5000,26.5000) (29.9999,32.0000) (30.0000,30.0000)
57.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0001)
58.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0000)
59.0 (21.5000,26.5000) (30.0000,32.0001) (30.0000,30.0000)
60.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0000)
61.0 (21.5000,26.5000) (30.0001,32.0000) (30.0000,30.0000)
62.0 (21.5000,26.5000) (30.0000,32.0000) (30.0001,30.0000)
63.0 (21.5000,26.5000) (29.9999,32.0000) (30.0000,30.0001)
64.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0000)
65.0 (21.5000,26.5000) (30.0001,32.0000) (29.9999,30.0000)
66.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,29.9999)
67.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0000)
68.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0001)
69.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0001)
70.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0000)
71.0 (21.5000,26.5000) (29.9999,32.0000) (30.0000,30.0000)
72.0 (21.5000,26.5000) (30.0000,32.0001) (30.0000,30.0000)
73.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0001)
74.0 (21.5000,26.5000) (30.0000,32.0001) (30.0000,30.0000)
75.0 (21.5000,26.5000) (30.0000,31.9999) (30.0001,29.9999)
76.0 (21.5000,26.5000) (29.9999,32.0000) (30.0000,30.0000)
77.0 (21.5000,26.5000) (30.0000,32.0000) (30.0000,30.0000)
78.0 (21.5000,26.5000) (30.0000,31.9999) (30.0001,29.9999)
79.0 (21.5000,26.5000) (30.0001,32.0000) (29.9999,30.0000)
